calc_days,data_well_name_id,total_fluid_bpd
3.083,COOPER 83H,4824
3.083,COOPER 84H,6432
3.125,COOPER 11H,4440
3.125,COOPER 12H,5760
3.125,COOPER 13H,5424
3.125,COOPER 14H,6648
3.125,COOPER 15H,9024
3.125,COOPER 81H,4416
3.125,COOPER 82H,6024
3.125,COOPER 83H,4800
3.125,COOPER 84H,6432
3.167,COOPER 11H,4320
3.167,COOPER 12H,5664
3.167,COOPER 13H,5424
3.167,COOPER 14H,6600
3.167,COOPER 15H,8952
3.167,COOPER 81H,4560
3.167,COOPER 82H,6192
3.167,COOPER 83H,4872
3.167,COOPER 84H,6432
3.208,COOPER 11H,4440
3.208,COOPER 12H,5856
3.208,COOPER 13H,5472
3.208,COOPER 14H,6528
3.208,COOPER 15H,9192
3.208,COOPER 81H,4488
3.208,COOPER 82H,6384
3.208,COOPER 83H,4752
3.208,COOPER 84H,6360
3.250,COOPER 11H,4464
3.250,COOPER 12H,5976
3.250,COOPER 13H,5472
3.250,COOPER 14H,6624
3.250,COOPER 15H,9192
3.250,COOPER 81H,4416
3.250,COOPER 82H,6456
3.250,COOPER 83H,4752
3.250,COOPER 84H,6216
3.292,COOPER 11H,4536
3.292,COOPER 12H,5952
3.292,COOPER 13H,5376
3.292,COOPER 14H,6576
3.292,COOPER 15H,9120
3.292,COOPER 81H,4848
3.292,COOPER 82H,6408
3.292,COOPER 83H,4752
3.292,COOPER 84H,6288
3.333,COOPER 11H,4416
3.333,COOPER 12H,5808
3.333,COOPER 13H,5448
3.333,COOPER 14H,6576
3.333,COOPER 15H,9168
3.333,COOPER 81H,5352
3.333,COOPER 82H,6480
3.333,COOPER 83H,4680
3.333,COOPER 84H,6264
3.375,COOPER 11H,4392
3.375,COOPER 12H,5904
3.375,COOPER 13H,5352
3.375,COOPER 14H,6504
3.375,COOPER 15H,9192
3.375,COOPER 81H,5832
3.375,COOPER 82H,6408
3.375,COOPER 83H,4728
3.375,COOPER 84H,6216
3.417,COOPER 11H,4392
3.417,COOPER 12H,5904
3.417,COOPER 13H,5424
3.417,COOPER 14H,6456
3.417,COOPER 15H,9264
3.417,COOPER 81H,5832
3.417,COOPER 82H,6576
3.417,COOPER 83H,4728
3.417,COOPER 84H,6288
3.458,COOPER 11H,4320
3.458,COOPER 12H,5904
3.458,COOPER 13H,5400
3.458,COOPER 14H,6576
3.458,COOPER 15H,9384
3.458,COOPER 81H,5736
3.458,COOPER 82H,6408
3.458,COOPER 83H,4728
3.458,COOPER 84H,6264
3.500,COOPER 11H,4392
3.500,COOPER 12H,5976
3.500,COOPER 13H,5352
3.500,COOPER 14H,6480
3.500,COOPER 15H,9288
3.500,COOPER 81H,5928
3.500,COOPER 82H,6600
3.500,COOPER 83H,4680
3.500,COOPER 84H,6168
3.542,COOPER 11H,4392
3.542,COOPER 12H,5880
3.542,COOPER 13H,5352
3.542,COOPER 14H,6408
3.542,COOPER 15H,9360
3.542,COOPER 81H,5664
3.542,COOPER 82H,6456
3.542,COOPER 83H,4728
3.542,COOPER 84H,6288
3.583,COOPER 11H,4392
3.583,COOPER 12H,5928
3.583,COOPER 13H,5376
3.583,COOPER 14H,6576
3.583,COOPER 15H,9216
3.583,COOPER 81H,5832
3.583,COOPER 82H,6576
3.583,COOPER 83H,4704
3.583,COOPER 84H,6264
3.625,COOPER 11H,4344
3.625,COOPER 12H,5928
3.625,COOPER 13H,5376
3.625,COOPER 14H,6504
3.625,COOPER 15H,9336
3.625,COOPER 81H,5664
3.625,COOPER 82H,6576
3.625,COOPER 83H,4656
3.625,COOPER 84H,6264
3.667,COOPER 11H,4344
3.667,COOPER 12H,5904
3.667,COOPER 13H,5376
3.667,COOPER 14H,6528
3.667,COOPER 15H,9336
3.667,COOPER 81H,5688
3.667,COOPER 82H,6552
3.667,COOPER 83H,4680
3.667,COOPER 84H,6360
3.708,COOPER 11H,4392
3.708,COOPER 12H,5928
3.708,COOPER 13H,5352
3.708,COOPER 14H,6648
3.708,COOPER 15H,9216
3.708,COOPER 81H,5736
3.708,COOPER 82H,6504
3.708,COOPER 83H,4728
3.708,COOPER 84H,6168
3.750,COOPER 11H,4368
3.750,COOPER 12H,5904
3.750,COOPER 13H,5304
3.750,COOPER 14H,6600
3.750,COOPER 15H,9192
3.750,COOPER 81H,5808
3.750,COOPER 82H,6552
3.750,COOPER 83H,4680
3.750,COOPER 84H,6312
3.792,COOPER 11H,4296
3.792,COOPER 12H,5904
3.792,COOPER 13H,5352
3.792,COOPER 14H,6624
3.792,COOPER 15H,9024
3.792,COOPER 81H,5784
3.792,COOPER 82H,6576
3.792,COOPER 83H,4704
3.792,COOPER 84H,6384
3.833,COOPER 11H,4368
3.833,COOPER 12H,5904
3.833,COOPER 13H,5352
3.833,COOPER 14H,6600
3.833,COOPER 15H,8952
3.833,COOPER 81H,5688
3.833,COOPER 82H,6600
3.833,COOPER 83H,4680
3.833,COOPER 84H,6312
3.875,COOPER 11H,4536
3.875,COOPER 12H,5976
3.875,COOPER 13H,5304
3.875,COOPER 14H,6648
3.875,COOPER 15H,8904
3.875,COOPER 81H,5640
3.875,COOPER 82H,6624
3.875,COOPER 83H,4680
3.875,COOPER 84H,6336
3.917,COOPER 11H,5688
3.917,COOPER 12H,6264
3.917,COOPER 13H,5304
3.917,COOPER 14H,6600
3.917,COOPER 15H,8880
3.917,COOPER 81H,5736
3.917,COOPER 82H,6576
3.917,COOPER 83H,4656
3.917,COOPER 84H,6288
3.958,COOPER 11H,5544
3.958,COOPER 12H,6216
3.958,COOPER 13H,5304
3.958,COOPER 14H,6576
3.958,COOPER 15H,8832
3.958,COOPER 81H,6480
3.958,COOPER 82H,6576
3.958,COOPER 83H,4656
3.958,COOPER 84H,6264
4.000,COOPER 11H,5472
4.000,COOPER 12H,6144
4.000,COOPER 13H,5376
4.000,COOPER 14H,6648
4.000,COOPER 15H,8832
4.000,COOPER 81H,6408
4.000,COOPER 82H,6624
4.000,COOPER 83H,4608
4.000,COOPER 84H,6288
4.042,COOPER 11H,5520
4.042,COOPER 12H,6168
4.042,COOPER 13H,5304
4.042,COOPER 14H,6528
4.042,COOPER 15H,8880
4.042,COOPER 81H,6528
4.042,COOPER 82H,6600
4.042,COOPER 83H,4608
4.042,COOPER 84H,6216
4.083,COOPER 11H,5448
4.083,COOPER 12H,6192
4.083,COOPER 13H,5328
4.083,COOPER 14H,6504
4.083,COOPER 15H,8808
4.083,COOPER 81H,6480
4.083,COOPER 82H,6552
4.083,COOPER 83H,4608
4.083,COOPER 84H,6288
4.125,COOPER 11H,5448
4.125,COOPER 12H,6264
4.125,COOPER 13H,5328
4.125,COOPER 14H,6600
4.125,COOPER 15H,8784
4.125,COOPER 81H,6408
4.125,COOPER 82H,6648
4.125,COOPER 83H,4560
4.125,COOPER 84H,6216
4.167,COOPER 11H,5592
4.167,COOPER 12H,6360
4.167,COOPER 13H,5328
4.167,COOPER 14H,6552
4.167,COOPER 15H,8712
4.167,COOPER 81H,6456
4.167,COOPER 82H,6600
4.167,COOPER 83H,4584
4.167,COOPER 84H,6192
4.208,COOPER 11H,5448
4.208,COOPER 12H,6240
4.208,COOPER 13H,5352
4.208,COOPER 14H,6456
4.208,COOPER 15H,8928
4.208,COOPER 81H,6408
4.208,COOPER 82H,6600
4.208,COOPER 83H,4560
4.208,COOPER 84H,6240
4.250,COOPER 11H,5352
4.250,COOPER 12H,6240
4.250,COOPER 13H,5400
4.250,COOPER 14H,6360
4.250,COOPER 15H,9360
4.250,COOPER 81H,6432
4.250,COOPER 82H,6576
4.250,COOPER 83H,4560
4.250,COOPER 84H,6192
4.292,COOPER 11H,5448
4.292,COOPER 12H,6360
4.292,COOPER 13H,5352
4.292,COOPER 14H,6432
4.292,COOPER 15H,9528
4.292,COOPER 81H,6552
4.292,COOPER 82H,6600
4.292,COOPER 83H,4560
