calc_days,data_well_name_id,total_fluid_bpd
11.833,COOPER 14H,6528
11.875,COOPER 12H,6552
11.875,COOPER 14H,6480
11.917,COOPER 12H,6504
11.917,COOPER 14H,6432
11.958,COOPER 12H,6552
11.958,COOPER 14H,6432
12.000,COOPER 12H,6456
12.000,COOPER 14H,6432
12.042,COOPER 12H,6528
12.042,COOPER 14H,6360
12.083,COOPER 12H,6456
12.083,COOPER 14H,6360
12.125,COOPER 12H,6456
12.125,COOPER 14H,6336
12.167,COOPER 12H,6432
12.167,COOPER 14H,6336
12.208,COOPER 12H,6480
12.208,COOPER 14H,6264
12.250,COOPER 12H,6408
12.250,COOPER 14H,6240
12.292,COOPER 12H,6432
12.292,COOPER 14H,6288
12.333,COOPER 12H,6384
12.333,COOPER 14H,6240
12.375,COOPER 12H,6240
12.375,COOPER 14H,6240
12.417,COOPER 12H,6336
12.417,COOPER 14H,6216
12.458,COOPER 12H,6288
12.458,COOPER 14H,6192
12.500,COOPER 12H,6288
12.500,COOPER 14H,6264
12.542,COOPER 12H,6216
12.542,COOPER 14H,6312
12.583,COOPER 12H,6288
12.583,COOPER 14H,6192
12.625,COOPER 12H,6240
12.625,COOPER 14H,6264
12.667,COOPER 12H,6192
12.667,COOPER 14H,6216
12.708,COOPER 12H,6192
12.708,COOPER 14H,6216
12.750,COOPER 12H,6192
12.750,COOPER 14H,6168
12.792,COOPER 12H,6168
12.792,COOPER 14H,6144
12.833,COOPER 12H,6144
12.833,COOPER 14H,6144
12.875,COOPER 12H,6072
12.875,COOPER 14H,6168
12.917,COOPER 12H,6072
12.917,COOPER 14H,6120
12.958,COOPER 12H,6120
12.958,COOPER 14H,6048
13.000,COOPER 12H,6024
13.000,COOPER 14H,6024
13.042,COOPER 12H,6072
13.042,COOPER 14H,6048
13.083,COOPER 12H,6000
13.083,COOPER 14H,6024
13.125,COOPER 12H,6000
13.125,COOPER 14H,6000
13.167,COOPER 12H,5952
13.167,COOPER 14H,5928
13.208,COOPER 12H,6000
13.208,COOPER 14H,5808
13.250,COOPER 12H,5904
13.250,COOPER 14H,7488
13.292,COOPER 12H,5856
13.292,COOPER 14H,7320
13.333,COOPER 12H,5904
13.333,COOPER 14H,7200
13.375,COOPER 12H,5952
13.375,COOPER 14H,7176
13.417,COOPER 12H,5904
13.417,COOPER 14H,7392
13.458,COOPER 12H,5904
13.458,COOPER 14H,7416
13.500,COOPER 12H,5880
13.500,COOPER 14H,7272
13.542,COOPER 12H,5856
13.542,COOPER 14H,7248
13.583,COOPER 12H,5880
13.583,COOPER 14H,7344
13.625,COOPER 12H,5832
13.625,COOPER 14H,7344
13.667,COOPER 12H,5880
13.667,COOPER 14H,7272
13.708,COOPER 12H,5832
13.708,COOPER 14H,7272
13.750,COOPER 12H,5832
13.750,COOPER 14H,7224
13.792,COOPER 12H,5808
13.792,COOPER 14H,7296
13.833,COOPER 12H,5832
13.833,COOPER 14H,7296
13.875,COOPER 12H,5784
13.875,COOPER 14H,7296
13.917,COOPER 12H,5808
13.917,COOPER 14H,7272
13.958,COOPER 12H,5760
13.958,COOPER 14H,7200
14.000,COOPER 12H,5736
14.000,COOPER 14H,7272
14.042,COOPER 12H,5832
14.042,COOPER 14H,7176
14.083,COOPER 12H,5760
14.083,COOPER 14H,7128
14.125,COOPER 12H,5688
14.125,COOPER 14H,7176
14.167,COOPER 12H,5712
14.167,COOPER 14H,7128
14.208,COOPER 12H,5688
14.208,COOPER 14H,7032
14.250,COOPER 12H,5688
14.250,COOPER 14H,6984
14.292,COOPER 12H,5760
14.292,COOPER 14H,7056
14.333,COOPER 12H,5640
14.333,COOPER 14H,6984
14.375,COOPER 12H,5616
14.375,COOPER 14H,6984
14.417,COOPER 12H,5664
14.417,COOPER 14H,6936
14.458,COOPER 12H,5616
14.458,COOPER 14H,6936
14.500,COOPER 12H,5568
14.500,COOPER 14H,6960
14.542,COOPER 12H,5544
14.542,COOPER 14H,6936
