Wellname,Date_time,Temperature,Poly_1,SGx1000,Velocity_bph
Example 1h,5/22/2019 10:45:59 AM,20.912,1.643,1009.398,100
Example 1h,5/22/2019 10:46:04 AM,20.912,1.677,1009.291,100
Example 1h,5/22/2019 10:46:09 AM,20.912,1.656,1009.178,100
Example 1h,5/22/2019 10:46:14 AM,20.912,1.624,1009.048,100
Example 1h,5/22/2019 10:46:19 AM,20.912,1.611,1008.901,100
Example 1h,5/22/2019 10:46:24 AM,20.912,1.578,1008.833,100
Example 1h,5/22/2019 10:46:29 AM,20.912,1.578,1009.016,100
Example 1h,5/22/2019 10:46:34 AM,20.912,1.594,1009.11,100
Example 1h,5/22/2019 10:46:39 AM,20.912,1.6,1009.197,100
Example 1h,5/22/2019 10:46:44 AM,20.912,1.632,1009.193,100
Example 1h,5/22/2019 10:46:49 AM,20.912,1.635,1009.185,100
Example 1h,5/22/2019 10:46:54 AM,20.912,1.641,1009.264,100
Example 1h,5/22/2019 10:46:59 AM,20.912,1.62,1008.96,100
Example 1h,5/22/2019 10:47:04 AM,20.912,1.627,1009.044,100
Example 1h,5/22/2019 10:47:09 AM,20.912,1.597,1008.598,100
Example 1h,5/22/2019 10:47:14 AM,20.912,1.565,1008.658,100
Example 1h,5/22/2019 10:47:19 AM,20.912,1.558,1008.824,100
Example 1h,5/22/2019 10:47:24 AM,20.912,1.573,1009.116,100
Example 1h,5/22/2019 10:47:29 AM,20.912,1.619,1009.238,100
Example 1h,5/22/2019 10:47:34 AM,20.912,1.641,1009.511,100
Example 1h,5/22/2019 10:47:39 AM,20.912,1.675,1009.601,100
Example 1h,5/22/2019 10:47:44 AM,20.912,1.675,1009.369,100
Example 1h,5/22/2019 10:47:49 AM,20.912,1.675,1009.587,100
Example 1h,5/22/2019 10:47:54 AM,20.912,1.672,1009.069,100
Example 1h,5/22/2019 10:47:59 AM,20.912,1.644,1009.143,100
Example 1h,5/22/2019 10:48:04 AM,20.912,1.625,1009.065,100
Example 1h,5/22/2019 10:48:09 AM,20.912,1.597,1008.719,100
Example 1h,5/22/2019 10:48:14 AM,20.912,1.578,1008.839,100
Example 1h,5/22/2019 10:48:19 AM,20.912,1.563,1008.729,100
Example 1h,5/22/2019 10:48:24 AM,20.912,1.569,1008.743,100
Example 1h,5/22/2019 10:48:29 AM,20.912,1.567,1008.703,100
Example 1h,5/22/2019 10:48:34 AM,20.912,1.581,1009.073,100
Example 1h,5/22/2019 10:48:39 AM,20.912,1.587,1008.797,100
Example 1h,5/22/2019 10:48:44 AM,20.912,1.582,1008.734,100
Example 1h,5/22/2019 10:48:49 AM,20.912,1.56,1008.609,100
Example 1h,5/22/2019 10:48:54 AM,20.912,1.519,1008.325,100
Example 1h,5/22/2019 10:48:59 AM,20.912,1.511,1008.549,100
Example 1h,5/22/2019 10:49:04 AM,20.912,1.522,1008.503,100
Example 1h,5/22/2019 10:49:09 AM,20.912,1.527,1008.776,100
Example 1h,5/22/2019 10:49:14 AM,20.912,1.581,1009.333,100
Example 1h,5/22/2019 10:49:19 AM,20.912,1.627,1009.323,100
Example 1h,5/22/2019 10:49:24 AM,20.912,1.626,1009.138,100
Example 1h,5/22/2019 10:49:29 AM,20.912,1.642,1009.266,100
Example 1h,5/22/2019 10:49:34 AM,20.912,1.608,1008.751,100
Example 1h,5/22/2019 10:49:39 AM,20.912,1.569,1008.607,100
Example 1h,5/22/2019 10:49:44 AM,20.912,1.56,1008.883,100
Example 1h,5/22/2019 10:49:49 AM,20.912,1.572,1008.824,100
Example 1h,5/22/2019 10:49:54 AM,20.912,1.578,1008.955,100
Example 1h,5/22/2019 10:49:59 AM,20.912,1.58,1008.88,100
Example 1h,5/22/2019 10:50:04 AM,20.912,1.546,1008.376,100
Example 1h,5/22/2019 10:50:09 AM,20.912,1.521,1008.531,100
Example 1h,5/22/2019 10:50:14 AM,20.912,1.508,1008.289,100
Example 1h,5/22/2019 10:50:19 AM,20.912,1.491,1008.304,100
Example 1h,5/22/2019 10:50:24 AM,20.912,1.481,1008.118,100
Example 1h,5/22/2019 10:50:29 AM,20.912,1.473,1008.328,100
Example 1h,5/22/2019 10:50:34 AM,20.912,1.497,1008.667,100
Example 1h,5/22/2019 10:50:39 AM,20.912,1.501,1008.507,100
Example 1h,5/22/2019 10:50:44 AM,20.912,1.515,1008.761,100
Example 1h,5/22/2019 10:50:49 AM,20.912,1.553,1009.119,100
Example 1h,5/22/2019 10:50:54 AM,20.912,1.589,1009.041,100
Example 1h,5/22/2019 10:50:59 AM,20.912,1.602,1008.896,100
