AUTOMATION_NAME,Flowback DateTime,Days Online,Hours Online,Hours Producing,Days Producing,PROD_OIL_HR,PROD_WTR_HR,TOTAL_GAS,GAS_24HR,Choke1,Choke2,TBG_PRESS,CSG_PRESS,PROD_SAND,CHLORIDES_PPM,FBHP
Apollo 13h,7/26/2019,1.041666667,25,25,1.041666667,38,178,960,960,28,0,0,2334,1,23704,6471.15
Apollo 13h,7/26/2019,1.083333333,26,26,1.083333333,40,186,1008,1008,28,0,0,2330,1,23704,6468.04
Apollo 13h,7/26/2019,1.125,27,27,1.125,40,189,1008,1008,28,0,0,2328,1,23704,6470.02
Apollo 13h,7/26/2019,1.166666667,28,28,1.166666667,39,183,984,984,28,0,0,2322,1,23704,6460.85
Apollo 13h,7/26/2019,1.208333333,29,29,1.208333333,39,180,984,984,28,0,0,2319,1,23704,6453.72
Apollo 13h,7/26/2019,1.25,30,30,1.25,38,175,936,936,28,0,0,2313,1,23704,6449.54
Apollo 13h,7/26/2019,1.291666667,31,31,1.291666667,43,171,1296,1296,28,0,0,2310,1,23704,6377.7
Apollo 13h,7/26/2019,1.333333333,32,32,1.333333333,43,177,792,792,28,0,0,2308,1,23704,6460.39
Apollo 13h,7/26/2019,1.375,33,33,1.375,45,181,1152,1152,30,0,0,2308,1,23704,6411.43
Apollo 13h,7/26/2019,1.416666667,34,34,1.416666667,46,194,1080,1080,30,0,0,2276,1,23704,6406.38
Apollo 13h,7/26/2019,1.458333333,35,35,1.458333333,46,201,1200,1200,30,0,0,2279,1,23704,6402.43
Apollo 13h,7/26/2019,1.5,36,36,1.5,38,199,1032,1032,30,0,0,2272,1,23704,6425.36
Apollo 13h,7/26/2019,1.541666667,37,37,1.541666667,45,199,1440,1440,32,0,0,2267,1,23704,6354.89
Apollo 13h,7/26/2019,1.583333333,38,38,1.583333333,50,206,1344,1344,32,0,0,2233,1,23704,6339.68
Apollo 13h,7/26/2019,1.625,39,39,1.625,46,230,1224,1224,32,0,0,2234,1,23704,6389.87
Apollo 13h,7/26/2019,1.666666667,40,40,1.666666667,52,221,1656,1656,32,0,0,2221,1,23704,6306.51
Apollo 13h,7/26/2019,1.708333333,41,41,1.708333333,45,223,1200,1200,32,0,0,2208,1,23704,6359.43
Apollo 13h,7/26/2019,1.75,42,42,1.75,53,222,1656,1656,32,0,0,2201,1,23704,6287.13
Apollo 13h,7/26/2019,1.791666667,43,43,1.791666667,44,246,1224,1224,32,0,0,2193,1,23704,6368.15
Apollo 13h,7/26/2019,1.833333333,44,44,1.833333333,53,219,1416,1416,32,0,0,2189,1,23704,6300.94
Apollo 13h,7/26/2019,1.875,45,45,1.875,53,217,1416,1416,32,0,0,2183,1,23704,6292.24
Apollo 13h,7/26/2019,1.916666667,46,46,1.916666667,53,211,1392,1392,32,0,0,2176,1,23704,6280.15
Apollo 13h,7/26/2019,1.958333333,47,47,1.958333333,52,238,1440,1440,32,0,0,2168,1,24875,6301.46
Apollo 13h,7/27/2019,2,48,48,2,55,215,1392,1392,32,0,0,2162,1,24875,6269.66
Apollo 13h,7/27/2019,2.041666667,49,49,2.041666667,60,239,1656,1656,32,0,0,2156,1,24875,6260.23
Apollo 13h,7/27/2019,2.083333333,50,50,2.083333333,48,200,1320,1320,32,0,0,2150,1,24875,6252.51
Apollo 13h,7/27/2019,2.125,51,51,2.125,54,219,1464,1464,32,0,0,2147,1,24875,6251.8
Apollo 13h,7/27/2019,2.166666667,52,52,2.166666667,55,226,1488,1488,32,0,0,2143,1,24875,6253.27
Apollo 13h,7/27/2019,2.208333333,53,53,2.208333333,53,208,1440,1440,32,0,0,2136,1,24875,6229.49
Apollo 13h,7/27/2019,2.25,54,54,2.25,50,203,1392,1392,32,0,0,2129,1,24875,6224.07
Apollo 13h,7/27/2019,2.291666667,55,55,2.291666667,58,218,1872,1872,32,0,0,2123,1,24875,6173.02
Apollo 13h,7/27/2019,2.333333333,56,56,2.333333333,56,220,1536,1536,34,0,0,2117,1,24875,6212.52
Apollo 13h,7/27/2019,2.375,57,57,2.375,60,238,1560,1560,34,0,0,2087,1,24875,6200.03
Apollo 13h,7/27/2019,2.416666667,58,58,2.416666667,75,243,1680,1680,34,0,0,2080,2,24875,6176.18
Apollo 13h,7/27/2019,2.458333333,59,59,2.458333333,68,247,1704,1704,34,0,0,2072,2,24875,6175.34
Apollo 13h,7/27/2019,2.5,60,60,2.5,52,215,1560,1560,34,0,0,2068,2,24875,6155.52
Apollo 13h,7/27/2019,2.541666667,61,61,2.541666667,57,242,1896,1896,34,0,0,2062,2,24875,6142.33
Apollo 13h,7/27/2019,2.583333333,62,62,2.583333333,59,237,1752,1752,34,0,0,2056,2,24875,6145.88
Apollo 13h,7/27/2019,2.625,63,63,2.625,57,239,1824,1824,34,0,0,2052,2,24875,6136.74
Apollo 13h,7/27/2019,2.666666667,64,64,2.666666667,58,235,1800,1800,34,0,0,2044,2,24875,6125.75
Apollo 13h,7/27/2019,2.708333333,65,65,2.708333333,50,257,1824,1824,34,0,0,2040,2,24875,6149.83
Apollo 13h,7/27/2019,2.75,66,66,2.75,64,239,1800,1800,34,0,0,2032,2,24875,6116.38
Apollo 13h,7/27/2019,2.791666667,67,67,2.791666667,64,234,1896,1896,34,0,0,2026,1,24875,6092.55
Apollo 13h,7/27/2019,2.833333333,68,68,2.833333333,65,234,1728,1728,34,0,0,2019,1,24875,6104.15
Apollo 13h,7/27/2019,2.875,69,69,2.875,56,247,1728,1728,34,0,0,2016,1,24875,6122.32
Apollo 13h,7/27/2019,2.916666667,70,70,2.916666667,61,272,1632,1632,34,0,0,2012,1,24875,6156.04
Apollo 13h,7/27/2019,2.958333333,71,71,2.958333333,58,259,1824,1824,34,0,0,2009,1,24875,6118.3
Apollo 13h,7/28/2019,3,72,72,3,59,236,1872,1872,34,0,0,2004,1,24875,6077.46
Apollo 13h,7/28/2019,3.041666667,73,73,3.041666667,61,230,1872,1872,34,0,0,1999,1,23661,6063.4
Apollo 13h,7/28/2019,3.083333333,74,74,3.083333333,58,240,1632,1632,34,0,0,1996,1,23661,6103.5
Apollo 13h,7/28/2019,3.125,75,75,3.125,61,235,1824,1824,34,0,0,1992,1,23661,6068.92
Apollo 13h,7/28/2019,3.166666667,76,76,3.166666667,57,236,1848,1848,34,0,0,1987,1,23661,6063.68
Apollo 13h,7/28/2019,3.208333333,77,77,3.208333333,59,231,1848,1848,34,0,0,1985,1,23661,6054.12
Apollo 13h,7/28/2019,3.25,78,78,3.25,60,232,1896,1896,34,0,0,1984,1,23661,6048.37
Apollo 13h,7/28/2019,3.291666667,79,79,3.291666667,63,238,1968,1968,34,0,0,1977,1,23661,6040.22
Apollo 13h,7/28/2019,3.333333333,80,80,3.333333333,58,232,1848,1848,36,0,0,1971,1,23661,6041.58
Apollo 13h,7/28/2019,3.375,81,81,3.375,62,253,1896,1896,36,0,0,1941,1,23661,6032.14
Apollo 13h,7/28/2019,3.416666667,82,82,3.416666667,66,260,2088,2088,36,0,0,1933,1,23661,6010.65
Apollo 13h,7/28/2019,3.458333333,83,83,3.458333333,63,257,2184,2184,36,0,0,1928,1,23661,5991.27
Apollo 13h,7/28/2019,3.5,84,84,3.5,66,251,2064,2064,36,0,0,1921,1,23661,5989.18
Apollo 13h,7/28/2019,3.541666667,85,85,3.541666667,64,254,2088,2088,36,0,0,1916,1,23661,5985.74
Apollo 13h,7/28/2019,3.583333333,86,86,3.583333333,65,255,2136,2136,36,0,0,1907,1,23661,5972.31
Apollo 13h,7/28/2019,3.625,87,87,3.625,66,257,2136,2136,38,0,0,1903,1,23661,5970.76
Apollo 13h,7/28/2019,3.666666667,88,88,3.666666667,67,264,2208,2208,38,0,0,1873,1,23661,5941.26
Apollo 13h,7/28/2019,3.708333333,89,89,3.708333333,71,275,2328,2328,38,0,0,1863,1,23661,5932.23
Apollo 13h,7/28/2019,3.75,90,90,3.75,76,275,2232,2232,38,0,0,1857,1,23661,5935.5
Apollo 13h,7/28/2019,3.791666667,91,91,3.791666667,69,260,2040,2040,38,0,0,1852,2,23661,5932.63
Apollo 13h,7/28/2019,3.833333333,92,92,3.833333333,73,274,2256,2256,38,0,0,1843,2,23661,5917.85
Apollo 13h,7/28/2019,3.875,93,93,3.875,70,270,2280,2280,38,0,0,1835,2,23661,5902.17
Apollo 13h,7/28/2019,3.916666667,94,94,3.916666667,70,270,2248,2248,38,0,0,1828,2,23661,5898.42
Apollo 13h,7/28/2019,3.958333333,95,95,3.958333333,68,267,2336,2336,38,0,0,1821,2,23661,5877.77
Apollo 13h,7/29/2019,4,96,96,4,70,270,2328,2328,38,0,0,1816,2,23661,5877.49
Apollo 13h,7/29/2019,4.041666667,97,97,4.041666667,70,268,2256,2256,38,0,0,1807,2,23661,5873.41
Apollo 13h,7/29/2019,4.083333333,98,98,4.083333333,70,267,2280,2280,38,0,0,1802,1,23661,5864.35
Apollo 13h,7/29/2019,4.125,99,99,4.125,71,269,2328,2328,38,0,0,1796,1,23661,5855.61
Apollo 13h,7/29/2019,4.166666667,100,100,4.166666667,70,266,2256,2256,38,0,0,1789,1,23661,5852.3
Apollo 13h,7/29/2019,4.208333333,101,101,4.208333333,72,270,2324,2324,38,0,0,1784,1,23661,5845.01
Apollo 13h,7/29/2019,4.25,102,102,4.25,70,267,2308,2308,38,0,0,1777,1,23661,5835.58
